pat1,pat2,features (n),distance,,,,,
P1,P1,5,0,,,,,
P1,P1,10,0,,,,,
P1,P1,15,0,,,,,
P1,P1,20,0,,,,,
P1,P1,25,0,,,,,
P1,P1,30,0,,,,,
P1,P1,40,0,,,,,
P1,P1,50,0,,,,,
P1,P1,60,0,,,,,
P1,P1,80,0,,,,,
P1,P1,100,0,,,,,
P1,P1,110,0,,,,,
P1,P19,5,0.035022935,,,,,
P1,P19,10,0.049204745,,,,,
P1,P19,15,0.053763495,,,,,
P1,P19,20,0.058515575,,,,,
P1,P19,25,0.061720798,,,,,
P1,P19,30,0.067555828,,,,,
P1,P19,40,0.075648408,,,,,
P1,P19,50,0.079965169,,,,,
P1,P19,60,0.082038984,,,,,
P1,P19,80,0.080959358,,,,,
P1,P19,100,0.085301074,,,,,
P1,P19,110,0.098181987,,,,,
P1,P24,5,0.048377047,,,,,
P1,P24,10,0.060214775,,,,,
P1,P24,15,0.061946745,,,,,
P1,P24,20,0.06425376,,,,,
P1,P24,25,0.067847697,,,,,
P1,P24,30,0.075676916,,,,,
P1,P24,40,0.083384151,,,,,
P1,P24,50,0.090244092,,,,,
P1,P24,60,0.09023273,,,,,
P1,P24,80,0.088430525,,,,,
P1,P24,100,0.085711294,,,,,
P1,P24,110,0.094920912,,,,,
P1,P26,5,0.042536208,,,,,
P1,P26,10,0.05771579,,,,,
P1,P26,15,0.061516175,,,,,
P1,P26,20,0.065305587,,,,,
P1,P26,25,0.06850863,,,,,
P1,P26,30,0.075929433,,,,,
P1,P26,40,0.084978127,,,,,
P1,P26,50,0.091291671,,,,,
P1,P26,60,0.095375695,,,,,
P1,P26,80,0.094502909,,,,,
P1,P26,100,0.097241619,,,,,
P1,P26,110,0.109749894,,,,,
P1,P51,5,0.0291953,,,,,
P1,P51,10,0.033395583,,,,,
P1,P51,15,0.035252867,,,,,
P1,P51,20,0.037661721,,,,,
P1,P51,25,0.042477893,,,,,
P1,P51,30,0.047999037,,,,,
P1,P51,40,0.055740856,,,,,
P1,P51,50,0.062002695,,,,,
P1,P51,60,0.065575772,,,,,
P1,P51,80,0.064970529,,,,,
P1,P51,100,0.065901795,,,,,
P1,P51,110,0.071289065,,,,,
P1,P56,5,0.048801176,,,,,
P1,P56,10,0.060165111,,,,,
P1,P56,15,0.064590864,,,,,
P1,P56,20,0.064831305,,,,,
P1,P56,25,0.069695228,,,,,
P1,P56,30,0.076734275,,,,,
P1,P56,40,0.082725048,,,,,
P1,P56,50,0.087470654,,,,,
P1,P56,60,0.091537927,,,,,
P1,P56,80,0.091127146,,,,,
P1,P56,100,0.091864353,,,,,
P1,P56,110,0.102052112,,,,,
P1,P61,5,0.032146001,,,,,
P1,P61,10,0.042492654,,,,,
P1,P61,15,0.042608025,,,,,
P1,P61,20,0.046045596,,,,,
P1,P61,25,0.049366802,,,,,
P1,P61,30,0.055031864,,,,,
P1,P61,40,0.062316318,,,,,
P1,P61,50,0.067362936,,,,,
P1,P61,60,0.071169132,,,,,
P1,P61,80,0.074826449,,,,,
P1,P61,100,0.076049846,,,,,
P1,P61,110,0.087809946,,,,,
P1,P66,5,0.046685616,,,,,
P1,P66,10,0.051467756,,,,,
P1,P66,15,0.054175324,,,,,
P1,P66,20,0.05826284,,,,,
P1,P66,25,0.062025235,,,,,
P1,P66,30,0.06530677,,,,,
P1,P66,40,0.076913853,,,,,
P1,P66,50,0.082299051,,,,,
P1,P66,60,0.087083815,,,,,
P1,P66,80,0.096428568,,,,,
P1,P66,100,0.099431736,,,,,
P1,P66,110,0.11671277,,,,,
P1,P76,5,0.040650721,,,,,
P1,P76,10,0.055731822,,,,,
P1,P76,15,0.063736089,,,,,
P1,P76,20,0.067287171,,,,,
P1,P76,25,0.073152315,,,,,
P1,P76,30,0.080493227,,,,,
P1,P76,40,0.084639525,,,,,
P1,P76,50,0.088377197,,,,,
P1,P76,60,0.09202267,,,,,
P1,P76,80,0.091893972,,,,,
P1,P76,100,0.093312379,,,,,
P1,P76,110,0.1091083,,,,,
P1,P95,5,0.030057705,,,,,
P1,P95,10,0.046195604,,,,,
P1,P95,15,0.048447296,,,,,
P1,P95,20,0.054742701,,,,,
P1,P95,25,0.055107193,,,,,
P1,P95,30,0.063166679,,,,,
P1,P95,40,0.072157251,,,,,
P1,P95,50,0.077071214,,,,,
P1,P95,60,0.080103385,,,,,
P1,P95,80,0.081171449,,,,,
P1,P95,100,0.078295721,,,,,
P1,P95,110,0.090113946,,,,,
P1,P27,5,0.045300672,,,,,
P1,P27,10,0.064740616,,,,,
P1,P27,15,0.0662246,,,,,
P1,P27,20,0.069586034,,,,,
P1,P27,25,0.073885266,,,,,
P1,P27,30,0.081067805,,,,,
P1,P27,40,0.087859884,,,,,
P1,P27,50,0.094788068,,,,,
P1,P27,60,0.094527914,,,,,
P1,P27,80,0.090473147,,,,,
P1,P27,100,0.086854444,,,,,
P1,P27,110,0.100000672,,,,,
P1,P32,5,0.035615749,,,,,
P1,P32,10,0.050242456,,,,,
P1,P32,15,0.05021871,,,,,
P1,P32,20,0.057279488,,,,,
P1,P32,25,0.062442514,,,,,
P1,P32,30,0.071416431,,,,,
P1,P32,40,0.080408984,,,,,
P1,P32,50,0.090322217,,,,,
P1,P32,60,0.090663387,,,,,
P1,P32,80,0.09377934,,,,,
P1,P32,100,0.088029499,,,,,
P1,P32,110,0.100013668,,,,,
P1,P39,5,0.049401502,,,,,
P1,P39,10,0.061743246,,,,,
P1,P39,15,0.066975635,,,,,
P1,P39,20,0.069360482,,,,,
P1,P39,25,0.076024217,,,,,
P1,P39,30,0.082665265,,,,,
P1,P39,40,0.090511495,,,,,
P1,P39,50,0.095197751,,,,,
P1,P39,60,0.098572287,,,,,
P1,P39,80,0.098883632,,,,,
P1,P39,100,0.100772105,,,,,
P1,P39,110,0.113781752,,,,,
P1,P58,5,0.041077917,,,,,
P1,P58,10,0.052761836,,,,,
P1,P58,15,0.057137583,,,,,
P1,P58,20,0.061645181,,,,,
P1,P58,25,0.065342123,,,,,
P1,P58,30,0.071164594,,,,,
P1,P58,40,0.077967877,,,,,
P1,P58,50,0.083710646,,,,,
P1,P58,60,0.085205293,,,,,
P1,P58,80,0.083763437,,,,,
P1,P58,100,0.084640759,,,,,
P1,P58,110,0.098011799,,,,,
P1,P59,5,0.02970632,,,,,
P1,P59,10,0.039046382,,,,,
P1,P59,15,0.041312175,,,,,
P1,P59,20,0.044341442,,,,,
P1,P59,25,0.045593903,,,,,
P1,P59,30,0.053079449,,,,,
P1,P59,40,0.061768013,,,,,
P1,P59,50,0.07038679,,,,,
P1,P59,60,0.074631255,,,,,
P1,P59,80,0.07615365,,,,,
P1,P59,100,0.078530258,,,,,
P1,P59,110,0.088001279,,,,,
P1,P62,5,0.042337273,,,,,
P1,P62,10,0.064045028,,,,,
P1,P62,15,0.06791488,,,,,
P1,P62,20,0.073052229,,,,,
P1,P62,25,0.077488112,,,,,
P1,P62,30,0.085687571,,,,,
P1,P62,40,0.094370974,,,,,
P1,P62,50,0.097872426,,,,,
P1,P62,60,0.100002023,,,,,
P1,P62,80,0.101756221,,,,,
P1,P62,100,0.104474459,,,,,
P1,P62,110,0.118268551,,,,,
P1,P67,5,0.038620996,,,,,
P1,P67,10,0.049055731,,,,,
P1,P67,15,0.050737364,,,,,
P1,P67,20,0.053816451,,,,,
P1,P67,25,0.061790218,,,,,
P1,P67,30,0.066190336,,,,,
P1,P67,40,0.071410444,,,,,
P1,P67,50,0.075102019,,,,,
P1,P67,60,0.074726555,,,,,
P1,P67,80,0.074682,,,,,
P1,P67,100,0.078755861,,,,,
P1,P67,110,0.089961567,,,,,
P1,P68,5,0.028839945,,,,,
P1,P68,10,0.046788208,,,,,
P1,P68,15,0.052653766,,,,,
P1,P68,20,0.055961474,,,,,
P1,P68,25,0.057898092,,,,,
P1,P68,30,0.062930933,,,,,
P1,P68,40,0.067621987,,,,,
P1,P68,50,0.074502934,,,,,
P1,P68,60,0.079475975,,,,,
P1,P68,80,0.082318964,,,,,
P1,P68,100,0.090286629,,,,,
P1,P68,110,0.104594614,,,,,
P1,P71,5,0.040337249,,,,,
P1,P71,10,0.054359706,,,,,
P1,P71,15,0.058303429,,,,,
P1,P71,20,0.062916798,,,,,
P1,P71,25,0.065380523,,,,,
P1,P71,30,0.071297711,,,,,
P1,P71,40,0.078442694,,,,,
P1,P71,50,0.084830564,,,,,
P1,P71,60,0.086170321,,,,,
P1,P71,80,0.088857661,,,,,
P1,P71,100,0.08984964,,,,,
P1,P71,110,0.103597581,,,,,
P1,P82,5,0.032449182,,,,,
P1,P82,10,0.046839011,,,,,
P1,P82,15,0.052358129,,,,,
P1,P82,20,0.056843608,,,,,
P1,P82,25,0.06229301,,,,,
P1,P82,30,0.072988735,,,,,
P1,P82,40,0.079456597,,,,,
P1,P82,50,0.086870822,,,,,
P1,P82,60,0.089828174,,,,,
P1,P82,80,0.093081627,,,,,
P1,P82,100,0.094576459,,,,,
P1,P82,110,0.113498237,,,,,
P1,P88,5,0.038369727,,,,,
P1,P88,10,0.045852472,,,,,
P1,P88,15,0.047901276,,,,,
P1,P88,20,0.054493683,,,,,
P1,P88,25,0.059345278,,,,,
P1,P88,30,0.068243794,,,,,
P1,P88,40,0.076526339,,,,,
P1,P88,50,0.082860555,,,,,
P1,P88,60,0.08619558,,,,,
P1,P88,80,0.087314535,,,,,
P1,P88,100,0.087731315,,,,,
P1,P88,110,0.100715274,,,,,
P1,P92,5,0.042823918,,,,,
P1,P92,10,0.050439435,,,,,
P1,P92,15,0.05087127,,,,,
P1,P92,20,0.053937422,,,,,
P1,P92,25,0.055784897,,,,,
P1,P92,30,0.06391808,,,,,
P1,P92,40,0.070981011,,,,,
P1,P92,50,0.078199328,,,,,
P1,P92,60,0.081619323,,,,,
P1,P92,80,0.085370477,,,,,
P1,P92,100,0.090528422,,,,,
P1,P92,110,0.104942892,,,,,
P19,P1,5,0.035022935,,,,,
P19,P1,10,0.049204745,,,,,
P19,P1,15,0.053763495,,,,,
P19,P1,20,0.058515575,,,,,
P19,P1,25,0.061720798,,,,,
P19,P1,30,0.067555828,,,,,
P19,P1,40,0.075648408,,,,,
P19,P1,50,0.079965169,,,,,
P19,P1,60,0.082038984,,,,,
P19,P1,80,0.080959358,,,,,
P19,P1,100,0.085301074,,,,,
P19,P1,110,0.098181987,,,,,
P19,P19,5,0,,,,,
P19,P19,10,0,,,,,
P19,P19,15,0,,,,,
P19,P19,20,0,,,,,
P19,P19,25,0,,,,,
P19,P19,30,0,,,,,
P19,P19,40,0,,,,,
P19,P19,50,0,,,,,
P19,P19,60,0,,,,,
P19,P19,80,0,,,,,
P19,P19,100,0,,,,,
P19,P19,110,0,,,,,
P19,P24,5,0.028078955,,,,,
P19,P24,10,0.023269036,,,,,
P19,P24,15,0.022723745,,,,,
P19,P24,20,0.024602996,,,,,
P19,P24,25,0.022890365,,,,,
