pat1,pat2,features (n),similarity
SRI-18497803,SRI-18497803,5,0.0
SRI-18497803,SRI-18497803,10,0.0
SRI-18497803,SRI-18497803,15,0.0
SRI-18497803,SRI-18497803,20,0.0
SRI-18497803,SRI-18497803,25,0.0
SRI-18497803,SRI-18497803,30,0.0
SRI-18497803,SRI-18497803,40,0.0
SRI-18497803,SRI-18497803,50,0.0
SRI-18497803,SRI-18497803,60,0.0
SRI-18497803,SRI-18497803,80,0.0
SRI-18497803,SRI-18497803,100,0.0
SRI-18497803,SRI-18497803,110,0.0
SRI-18497803,SRI-26391657,5,0.03502293528626612
SRI-18497803,SRI-26391657,10,0.049204745386345464
SRI-18497803,SRI-26391657,15,0.053763495478284636
SRI-18497803,SRI-26391657,20,0.05851557500927727
SRI-18497803,SRI-26391657,25,0.06172079835793326
SRI-18497803,SRI-26391657,30,0.067555828477982
SRI-18497803,SRI-26391657,40,0.07564840836541868
SRI-18497803,SRI-26391657,50,0.0799651685835831
SRI-18497803,SRI-26391657,60,0.08203898385263382
SRI-18497803,SRI-26391657,80,0.08095935759824109
SRI-18497803,SRI-26391657,100,0.08530107373741083
SRI-18497803,SRI-26391657,110,0.09818198719795765
SRI-18497803,SRI-65903946,5,0.04837704727096212
SRI-18497803,SRI-65903946,10,0.06021477493979673
SRI-18497803,SRI-65903946,15,0.06194674513445339
SRI-18497803,SRI-65903946,20,0.064253760392275
SRI-18497803,SRI-65903946,25,0.06784769680185834
SRI-18497803,SRI-65903946,30,0.07567691597056189
SRI-18497803,SRI-65903946,40,0.08338415071180129
SRI-18497803,SRI-65903946,50,0.09024409200124561
SRI-18497803,SRI-65903946,60,0.09023272985380223
SRI-18497803,SRI-65903946,80,0.08843052480145216
SRI-18497803,SRI-65903946,100,0.08571129353652106
SRI-18497803,SRI-65903946,110,0.09492091213932306
SRI-18497803,SRI-57018043,5,0.04253620809124663
SRI-18497803,SRI-57018043,10,0.05771578978014218
SRI-18497803,SRI-57018043,15,0.06151617495017439
SRI-18497803,SRI-57018043,20,0.06530558710239637
SRI-18497803,SRI-57018043,25,0.06850862980777127
SRI-18497803,SRI-57018043,30,0.07592943300649996
SRI-18497803,SRI-57018043,40,0.08497812704504455
SRI-18497803,SRI-57018043,50,0.09129167127790191
SRI-18497803,SRI-57018043,60,0.09537569499257689
SRI-18497803,SRI-57018043,80,0.0945029086413568
SRI-18497803,SRI-57018043,100,0.09724161931276389
SRI-18497803,SRI-57018043,110,0.1097498937106383
SRI-18497803,SRI-09637923,5,0.02919529971826777
